inference_time,device,device_details
1.2637569904327393,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3477463722229004,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2495784759521484,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.8382561206817627,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3538458347320557,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2230544090270996,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2199008464813232,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.291459321975708,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2490651607513428,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2544519901275635,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
2.257864475250244,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2922399044036865,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3007423877716064,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2579636573791504,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
